wrclmch,anweight,party_feel_closest
0.4,0.09199608,left
0.4,0.17426597,left
0.4,0.13819683,left
0.4,0.05414158,left
0.0,0.13801286,left
0.8,1.3238643,left
0.0,0.107597955,left
0.4,0.40063697,left
0.0,0.040366948,left
0.8,0.6761484,left
0.8,0.16519614,left
0.8,1.3238643,left
0.4,0.107597955,left
0.0,0.15479836,middle left
0.4,0.10664708,middle left
0.4,0.15502545,middle left
0.0,0.27543792,middle left
0.0,0.08581877,middle left
0.4,0.03607056,middle left
0.0,0.14140427,middle left
0.0,0.3611438,middle left
0.8,0.14391424,middle left
0.0,0.60310495,middle left
0.4,0.42554206,middle left
0.4,0.164786,middle left
0.0,0.09211799,middle left
-0.4,0.1956719,middle left
0.0,0.3610758,middle left
-0.4,0.4602562,middle left
-0.8,0.6795601,middle left
0.8,0.16370428,middle left
0.4,0.115610704,middle left
0.4,0.17859542,middle left
0.4,0.2374691,middle left
-0.8,0.10321815,middle left
0.0,0.04129785,middle left
0.4,0.27038366,middle left
0.0,0.25676864,middle left
0.0,0.10376495,middle left
0.8,0.10090476,middle left
0.0,0.28369537,middle left
0.0,0.31198916,middle left
0.4,0.21468475,middle left
0.4,0.063752726,middle left
0.8,0.42045686,middle left
0.0,0.045639355,middle left
0.0,0.37834403,middle left
0.0,0.14472999,middle left
0.0,0.12189031,middle left
0.4,0.54653525,middle left
0.0,0.3968104,middle left
0.0,0.11403173,middle left
-0.4,0.51117456,middle left
0.4,0.12520759,none
0.4,0.13088861,none
0.0,0.28262457,none
0.0,0.2882518,none
0.0,0.27555737,none
0.0,0.08068949,none
0.4,1.3238643,none
0.4,1.3238643,none
0.4,0.22965458,none
0.0,0.10293316,none
0.0,0.16452838,none
0.0,1.3238645,none
0.0,0.16369309,none
0.0,0.080918506,none
0.4,0.09901453,none
-0.4,0.05146658,none
0.0,0.51117456,none
0.4,0.19635895,none
0.4,0.3719099,none
0.0,0.091044754,none
0.4,0.15538724,none
0.4,0.10828316,none
0.8,1.3238643,none
0.0,0.66719633,none
0.4,0.1263944,none
0.0,0.21616118,none
0.8,0.13899043,none
-0.4,0.043200273,none
0.4,0.18054458,none
0.4,0.45607427,none
0.4,1.3238643,none
0.0,0.11381127,none
0.0,0.538723,none
0.4,0.095651016,none
0.4,0.42538047,none
0.4,0.51911527,none
-0.4,0.15271756,none
0.0,0.30543512,none
0.0,0.7485566,none
0.4,0.110413164,none
0.8,1.3238643,none
0.0,0.047460195,none
0.8,0.5202727,none
0.0,0.11585063,none
-0.4,0.17250448,none
-0.4,0.07827584,none
0.4,0.8007314,none
0.4,0.30829272,none
0.8,0.122475594,none
0.4,0.8455839,none
0.4,0.31003532,none
-0.4,0.46025607,none
0.0,0.5630226,none
0.8,0.11989677,none
0.0,1.3238643,none
0.4,0.65344447,none
0.4,0.83082986,none
0.0,0.18841654,none
-0.4,0.06690894,none
0.4,0.08833465,none
0.0,0.053822216,none
0.0,0.24554457,none
0.0,0.095822476,none
0.4,0.42538044,none
0.4,0.04107029,none
0.4,1.3238642,none
0.8,0.040825214,none
-0.4,0.7037452,none
0.0,0.14854403,none
0.4,0.10414677,none
0.4,0.0916025,none
0.4,0.24390557,none
0.0,0.08184654,none
0.0,0.07400245,none
0.0,0.6729605,none
0.4,0.0915496,none
0.0,0.31544432,none
0.4,0.10664708,none
-0.4,1.2946659,none
0.0,0.3216308,none
0.4,0.44384092,none
0.4,0.59255695,none
-0.4,0.20869057,none
-0.4,0.37748352,none
0.0,0.16915107,none
0.0,0.22502883,none
-0.8,0.1805719,none
0.4,0.40912768,none
0.0,0.18767118,none
0.8,0.43039182,none
0.4,0.27313447,none
0.0,0.22425073,none
0.0,0.33125782,none
0.4,0.34205598,none
0.0,0.38793296,none
0.0,1.1119441,none
0.8,0.26293555,none
0.4,0.36393422,none
0.0,0.5034308,none
0.4,0.15498596,none
0.4,0.14912452,none
0.4,0.24358791,none
0.4,0.20036717,none
0.0,0.0457748,none
0.4,0.6175744,none
0.0,0.20240635,none
0.0,0.4346391,none
0.4,0.15400556,none
0.4,0.5429986,none
0.0,0.11107151,none
0.0,0.27258295,middle right
0.8,0.12498708,middle right
0.0,0.3357223,middle right
0.4,0.9169618,middle right
0.4,0.34082258,middle right
0.4,1.0020479,middle right
0.0,0.099154934,middle right
0.0,0.14908034,middle right
0.0,0.32433465,middle right
0.0,0.14696638,middle right
-0.8,0.19595523,middle right
0.0,0.121793956,middle right
0.0,0.22803932,middle right
0.0,0.18348679,middle right
0.4,0.19803452,middle right
-0.4,0.13517718,middle right
0.4,0.1319739,middle right
-0.4,0.051652662,middle right
0.0,0.39902058,middle right
0.8,0.39902058,middle right
0.0,0.3525248,middle right
0.0,0.092465535,middle right
-0.4,0.09915493,middle right
-0.4,0.06360318,right
-0.4,0.17940208,right
-0.4,0.35914776,right
-0.4,0.2026279,right
0.4,0.33062372,right
-0.4,0.045639355,right
-0.4,0.20824687,right
-0.4,0.10818827,right
0.0,0.2525667,right
-0.4,0.08888855,right
-0.4,0.15061393,right
0.4,0.20094818,right
0.0,0.14777084,right
0.0,0.1676253,right
