imueclt,anweight,party_feel_closest
-0.18181818181818177,1.3238643,left
0.0,0.42045686,left
-0.7272727272727274,0.106591724,left
-0.7272727272727274,0.41320062,left
-0.9090909090909092,0.17426597,left
-0.5454545454545455,0.162076,left
0.0,0.09199608,left
-0.18181818181818177,0.38197234,left
-0.7272727272727274,0.08232505,left
-0.5454545454545455,0.06690894,left
-0.36363636363636365,0.20314468,left
-0.5454545454545455,0.20499675,left
-0.7272727272727274,0.78134537,left
0.0,0.14184768,left
-0.7272727272727274,1.3236659,left
-0.7272727272727274,1.1351379,left
-0.9090909090909092,1.0893724,left
-0.18181818181818177,0.048057828,left
-0.5454545454545455,0.05213111,left
-0.36363636363636365,0.16093153,left
-0.9090909090909092,0.6773098,left
0.0,0.08073391,left
-0.5454545454545455,0.27515286,left
0.0,0.91679144,left
-0.36363636363636365,0.1818512,left
-0.5454545454545455,0.22220491,left
-0.7272727272727274,0.38864112,left
-0.5454545454545455,0.49641523,left
0.0,0.2967643,left
-0.18181818181818177,1.3238645,left
-0.36363636363636365,0.34386593,left
-0.18181818181818177,0.9490955,left
-0.36363636363636365,0.31014088,left
-0.18181818181818177,0.12160441,left
0.36363636363636365,0.16519614,left
0.18181818181818177,0.27458155,left
0.5454545454545454,0.14140427,middle left
0.0,0.16260028,middle left
-0.18181818181818177,0.22924386,middle left
-0.36363636363636365,0.30171502,middle left
0.18181818181818177,0.045639355,middle left
0.0,0.27694744,middle left
-0.5454545454545455,0.63088864,middle left
-0.36363636363636365,0.27235812,middle left
0.0,0.38199866,middle left
0.0,0.08130015,middle left
0.18181818181818177,0.09544661,middle left
0.0,0.2902267,middle left
0.0,0.34867233,middle left
0.0,0.10047409,middle left
0.0,0.122005835,middle left
-0.7272727272727274,0.17956828,middle left
0.0,0.10372264,middle left
0.5454545454545454,0.37241134,middle left
0.0,0.115610704,middle left
0.18181818181818177,0.20409732,middle left
0.36363636363636365,0.23237638,middle left
0.36363636363636365,0.21349965,middle left
-0.5454545454545455,0.29545,middle left
