wrclmch,anweight,party_feel_closest
0.8,0.11585063,left
0.0,0.3004357,left
0.8,0.41320062,left
0.4,1.3238645,left
0.0,0.27458155,left
0.0,0.39144412,middle left
0.0,0.21999323,middle left
-0.4,0.24399126,middle left
0.0,0.3968104,middle left
0.0,0.12792477,middle left
0.0,0.38199866,middle left
0.4,0.10664708,middle left
0.0,0.18976213,middle left
0.0,0.10376495,middle left
0.4,0.30155247,middle left
0.0,0.7639447,middle left
0.0,0.22214302,middle left
0.4,0.30155244,middle left
0.4,0.17564408,none
0.4,0.14912452,none
0.4,0.17225829,none
0.0,0.17163754,none
0.0,0.34713432,none
0.0,0.21799691,none
0.0,0.1676253,none
0.0,0.11801526,none
0.4,1.1587864,none
0.4,0.32520747,none
0.8,0.29471585,none
0.4,0.19154353,none
0.0,0.08655266,none
0.0,0.11228741,none
0.4,0.17564406,none
0.4,0.066466816,none
0.0,0.22425073,none
0.4,0.23923036,none
0.0,0.3746717,none
0.0,0.24340113,none
0.0,0.14838216,none
0.0,0.115610704,none
0.0,0.6839089,none
0.0,0.45184156,none
0.8,0.2701594,none
0.0,0.8319,none
0.4,0.20036712,none
0.4,1.0387454,none
0.0,1.3238645,none
0.0,0.11663257,none
0.8,1.3238643,none
0.0,1.2143338,none
0.0,1.3238645,none
0.0,0.09810024,none
-0.8,0.18208951,none
0.4,0.043629494,none
0.8,1.3238643,none
0.4,0.26277858,none
0.0,0.03874649,none
0.4,0.4899222,none
0.4,0.6175744,none
0.0,0.66719633,none
-0.8,0.28490525,none
0.4,1.3236659,none
0.4,0.058316287,none
0.8,0.5202727,none
0.8,0.29471585,none
0.0,0.18767118,none
0.8,0.2998124,none
0.4,0.3136628,none
0.8,0.2882518,none
0.8,0.14735793,none
0.8,0.07763201,none
0.4,0.16929258,none
0.4,0.17225829,none
0.4,0.7583454,none
0.0,0.17354122,none
0.4,0.44384092,none
0.4,0.41821712,none
0.0,0.14720772,none
0.0,0.20240635,none
0.0,0.07626979,none
0.0,0.22425073,none
0.0,0.39902058,middle right
0.0,0.14908034,middle right
-0.4,0.55558914,middle right
0.0,0.1676253,middle right
0.0,0.107597955,middle right
0.4,0.9169618,middle right
-0.8,0.13466832,middle right
0.4,0.14069255,middle right
-0.4,0.10372264,middle right
-0.4,0.35303208,middle right
-0.8,0.095651016,middle right
-0.4,0.10818827,right
0.0,0.9413507,right
0.0,0.06690894,right
0.0,0.16872005,right
0.0,0.115267664,right
-0.4,0.27458155,right
0.0,0.043200288,right
0.0,0.08149638,right
