ccnthum,anweight,party_feel_closest
0.4,0.07236499,left
0.8,1.3236659,left
0.4,0.114422105,left
0.8,0.109055094,left
0.8,0.41320062,left
0.4,0.6761484,left
0.4,0.3004357,left
-0.4,0.22220491,left
0.0,1.0102668,left
0.4,0.3127494,left
0.0,0.040366948,left
0.4,0.107597955,left
0.0,0.5521826,left
0.4,0.42045686,left
0.8,0.14184768,left
-0.4,0.33525828,middle left
0.0,0.110413164,middle left
0.0,0.058316287,middle left
0.8,0.20624104,middle left
0.4,0.046017826,middle left
0.4,0.13517718,middle left
0.4,0.3061599,middle left
0.0,0.1895158,middle left
0.0,0.07427202,middle left
0.4,0.063752726,middle left
-0.8,0.04403058,middle left
0.4,0.76394445,middle left
0.0,0.09633546,middle left
0.4,0.22805028,middle left
0.0,0.32361266,middle left
0.0,0.45479086,middle left
0.4,0.15414636,middle left
0.4,0.27038366,middle left
0.4,0.057419594,middle left
0.4,0.17084609,middle left
0.0,0.5330825,middle left
0.4,0.0950725,middle left
0.4,1.3238645,middle left
0.0,0.0489387,middle left
0.0,0.31198916,middle left
0.4,0.4637355,middle left
0.4,0.3611438,middle left
0.4,0.3027467,middle left
0.4,0.46025607,middle left
0.4,0.18131083,middle left
0.4,0.60310495,middle left
-0.4,0.46126106,middle left
0.0,0.24307518,middle left
0.4,0.12923826,middle left
0.0,0.063752726,middle left
0.4,0.24617158,middle left
0.4,0.09553995,middle left
0.8,0.27798086,middle left
0.0,0.119552895,none
0.0,0.21574178,none
0.0,0.0718269,none
0.4,0.3853418,none
0.4,0.040825214,none
0.4,0.10787092,none
0.0,0.20379491,none
0.0,0.11609869,none
0.0,0.11532422,none
0.0,0.4899222,none
0.4,0.1862057,none
0.0,0.06500661,none
0.4,0.10189744,none
0.4,0.107975386,none
0.4,0.22242649,none
0.4,1.3238643,none
0.4,0.22953384,none
0.4,0.05414158,none
0.0,0.111378334,none
0.0,0.095822476,none
0.4,0.08231106,none
-0.8,0.16815524,none
0.4,0.16887283,none
-0.4,0.051213868,none
-0.4,0.5212772,none
0.4,0.19830985,none
0.4,1.3238645,none
0.0,0.34082258,none
-0.4,0.2087635,none
0.4,0.110117905,none
0.0,0.3227943,none
0.4,0.13251084,none
0.0,0.64366317,none
-0.8,0.30677795,none
0.0,0.2658416,none
0.4,0.24109301,none
0.4,0.12160441,none
-0.4,0.08725899,none
0.4,0.31544432,none
0.8,0.16370428,none
0.0,0.13886423,none
0.0,0.09769731,none
0.4,0.09577179,none
0.0,0.09646117,none
0.8,0.14735793,none
0.4,0.086772725,none
0.8,0.13899043,none
0.4,0.09976586,none
0.4,0.2552519,none
-0.4,0.21999328,none
0.4,0.73180145,none
0.0,0.3418103,none
0.4,0.18910748,none
-0.4,0.08725899,none
0.4,1.3238645,none
0.0,0.6616821,none
0.0,0.36393422,none
0.8,0.8144486,none
0.0,0.06690894,none
0.4,0.16330086,none
0.4,0.095766954,none
0.4,0.075603455,none
0.4,0.09078405,none
0.4,0.16519614,none
0.4,0.3357223,none
0.0,0.15498595,none
0.0,1.184588,none
0.4,0.3100509,none
0.0,0.16679908,none
0.4,0.16213389,none
0.8,0.4629585,none
0.0,0.0899917,none
0.4,0.3357224,none
-0.4,0.14772256,none
0.4,0.13009207,none
0.8,0.14813694,none
0.0,1.2143338,none
0.8,0.07867683,none
-0.8,0.08269351,none
0.4,0.07339379,none
0.8,0.19744976,none
0.0,0.12130628,none
0.0,0.12498706,none
0.4,0.13466832,none
0.4,0.1594869,none
0.4,0.60291135,none
0.4,0.23295255,none
0.0,0.14735793,none
0.0,0.055206582,none
0.4,0.07400245,none
0.4,0.18376367,none
0.0,0.12473268,none
0.4,0.63073593,none
0.4,0.34245372,none
0.0,0.54724437,none
0.0,0.19373234,none
0.4,0.32426775,none
0.4,0.21468475,none
0.4,0.2721703,middle right
0.8,0.3280578,middle right
0.0,0.63088864,middle right
0.0,0.15538724,middle right
0.4,0.0978774,middle right
0.4,0.50913286,middle right
0.4,0.35959753,middle right
0.0,0.119560294,middle right
0.4,0.063962385,middle right
0.0,0.7477343,middle right
-0.4,1.3236659,middle right
-0.8,0.14696638,middle right
0.0,0.39144412,middle right
0.0,0.1513571,middle right
0.0,0.2174638,middle right
0.0,0.13899043,middle right
0.4,0.16183701,middle right
0.8,0.7326417,middle right
0.4,0.19709627,middle right
0.0,0.47106415,middle right
0.0,1.0020479,middle right
0.0,1.0020479,middle right
0.0,0.121793956,middle right
0.4,0.3357223,middle right
0.0,0.12845486,middle right
0.4,0.14908034,middle right
0.0,0.1729862,middle right
0.4,0.19595523,middle right
0.0,0.07739921,middle right
0.0,0.21263072,middle right
0.4,0.66124743,middle right
0.0,0.1939665,middle right
0.0,0.27258295,middle right
0.0,0.30879104,middle right
0.0,0.06579067,right
0.4,0.6640751,right
0.0,0.27798086,right
-0.4,0.054761812,right
0.4,0.06991398,right
0.4,0.22431438,right
0.0,0.28590885,right
0.0,0.22869827,right
0.0,0.6117154,right
0.4,0.06360318,right
0.4,0.115267664,right
-0.4,0.40284938,right
0.0,0.14777084,right
0.0,0.6773098,right
0.0,0.15409446,right
