imueclt,anweight,party_feel_closest
-0.5454545454545455,0.12667987,left
-0.5454545454545455,1.184588,left
0.0,0.08073391,left
-0.5454545454545455,0.06690894,left
0.0,0.18841654,left
-0.18181818181818177,0.08725899,left
0.0,0.21468472,left
-0.5454545454545455,0.3338157,left
-0.5454545454545455,0.64863634,left
-0.5454545454545455,0.20499675,left
-0.5454545454545455,0.06579067,left
-0.7272727272727274,0.41320062,left
-0.9090909090909092,0.76235414,left
0.18181818181818177,0.13899043,left
-0.18181818181818177,0.054313693,left
-0.5454545454545455,0.3357224,left
-0.5454545454545455,0.076148786,left
-0.18181818181818177,0.37778822,left
-0.9090909090909092,1.0893724,left
-0.9090909090909092,0.6773098,left
-0.7272727272727274,1.3238645,left
0.0,0.19595523,left
-0.18181818181818177,0.043200288,left
0.0,0.107597955,left
0.0,0.20072661,left
-0.18181818181818177,1.3238643,left
-0.9090909090909092,0.38217774,left
-0.7272727272727274,1.3236659,left
-0.7272727272727274,0.17289783,left
-0.7272727272727274,0.09286898,left
-0.18181818181818177,0.109055094,left
-0.36363636363636365,0.164786,middle left
0.0,0.553629,middle left
0.0,0.12845486,middle left
0.0,0.2902267,middle left
0.18181818181818177,0.045639355,middle left
0.7272727272727273,0.12792477,middle left
0.5454545454545454,0.10317534,middle left
0.0,0.27694744,middle left
0.0,0.08130015,middle left
-0.18181818181818177,0.09026561,middle left
-0.18181818181818177,0.85076094,middle left
0.0,0.34867233,middle left
-0.18181818181818177,0.17084609,middle left
0.0,0.60310495,middle left
-0.36363636363636365,0.162076,middle left
-0.9090909090909092,0.12923826,middle left
0.0,0.0978774,middle left
-0.18181818181818177,0.18910746,middle left
-0.36363636363636365,0.19322245,middle left
-0.5454545454545455,0.38045824,middle left
0.5454545454545454,0.08581877,middle left
0.0,0.122005835,middle left
0.0,0.2374691,middle left
0.5454545454545454,0.043200288,middle left
-0.36363636363636365,0.54296577,middle left
0.5454545454545454,0.14365382,middle left
0.0,0.07769362,middle left
0.18181818181818177,0.08076826,middle left
0.18181818181818177,0.101897456,middle left
-0.36363636363636365,0.11403173,middle left
0.0,0.13517718,middle left
0.9090909090909091,0.102386475,middle left
0.18181818181818177,0.22192046,middle left
-0.5454545454545455,1.3238642,middle left
-0.7272727272727274,0.1895158,middle left
-0.18181818181818177,0.30155244,middle left
-0.18181818181818177,0.2314321,middle left
0.5454545454545454,0.28490525,middle left
-0.18181818181818177,0.0718269,middle left
-0.36363636363636365,0.060802206,middle left
0.18181818181818177,0.19830987,middle left
