ccnthum,anweight,party_feel_closest
0.4,0.3931305,left
0.4,0.78134537,left
0.0,1.0102668,left
0.4,0.13381788,left
0.8,1.3238645,left
0.4,0.1818512,left
0.4,1.0893724,left
0.4,0.6761484,left
0.4,0.09227239,left
0.0,0.11028964,left
0.4,0.08232505,left
0.8,0.41320062,left
0.4,0.095651016,left
0.4,0.27515286,left
0.4,0.05213111,left
0.4,1.3238645,left
0.4,0.5339524,left
0.0,0.38864112,middle left
0.4,0.106591724,middle left
0.4,0.26129964,middle left
0.0,0.13009207,middle left
0.0,0.33357963,middle left
0.4,0.122005835,middle left
0.8,0.20624104,middle left
0.4,0.04753625,middle left
0.0,0.13861534,middle left
0.0,0.10321815,middle left
0.4,0.06942707,middle left
0.4,0.117543094,middle left
0.4,0.046017826,middle left
0.4,0.20752993,middle left
0.4,0.038699605,middle left
0.4,0.76394445,middle left
0.4,0.23324628,middle left
0.0,0.8854352,middle left
0.0,0.14140427,middle left
0.4,0.19830987,middle left
0.0,0.9663104,middle left
0.4,0.65230185,middle left
0.8,0.03607056,middle left
0.4,0.162076,middle left
0.0,0.036070555,middle left
0.0,0.10090476,middle left
0.0,0.110413164,middle left
0.4,0.3061599,middle left
0.8,0.64409244,middle left
0.0,0.051193237,none
0.4,0.4802122,none
0.4,0.32520747,none
0.0,0.13009207,none
0.0,0.24013658,none
0.8,0.13899043,none
0.4,0.15229756,none
0.0,0.17564406,none
0.8,0.15725832,none
0.0,0.16153651,none
0.0,0.40996447,none
0.0,0.13088861,none
-0.8,0.0946566,none
0.4,0.11458715,none
0.0,0.1971746,none
0.4,0.581521,none
0.4,0.22242649,none
0.4,0.3853418,none
0.4,0.34245372,none
-0.8,0.215119,none
0.0,0.35914776,none
0.4,0.12520759,none
0.4,0.31544432,none
0.0,0.5521826,none
0.0,0.2721703,none
0.4,0.34993392,none
0.0,0.18208951,none
0.4,0.07257932,none
0.8,1.3238645,none
0.8,0.5202727,none
0.0,0.11526765,none
0.0,0.0718269,none
0.0,0.047769975,none
0.0,0.16093153,none
0.4,0.45739654,none
0.0,0.14184768,none
0.0,0.2890063,none
0.0,0.16215909,none
-0.4,0.080733895,none
0.0,0.26320636,none
0.0,0.16679908,none
0.4,0.18767118,none
0.0,0.09211799,none
0.0,0.14838216,none
0.0,0.14735793,none
0.4,0.11959475,none
-0.8,0.19255431,none
0.0,0.5238143,none
0.8,0.20841457,none
0.8,0.09286898,none
-0.4,0.07763201,none
0.0,0.1446997,none
0.4,0.106315374,none
0.4,0.5162875,none
0.4,0.23973201,none
0.0,0.47606477,none
0.4,0.116098724,none
0.4,0.83082986,none
0.4,0.2998124,none
0.4,0.14813694,none
0.4,0.15922777,none
0.0,0.06500661,none
0.0,0.5062849,none
0.0,0.22762254,none
0.4,0.21468475,none
0.8,0.83082986,none
0.4,0.6175744,none
0.0,0.1868448,none
0.4,0.4065272,none
0.0,0.13886423,none
0.4,0.19209859,none
0.0,0.4807075,none
0.4,0.51117456,none
0.4,0.09465399,none
0.4,0.2754379,none
0.0,0.20097044,none
0.0,0.11458715,none
0.4,1.3238643,none
0.4,0.57176554,none
0.0,0.095766954,none
0.4,0.27313447,none
-0.4,0.091044754,none
0.0,0.095651016,none
0.8,1.3238643,none
0.4,0.21895489,none
0.0,0.94909555,none
-0.4,0.3724311,none
0.0,0.10818827,none
0.8,0.3019011,none
0.4,0.1429579,none
0.4,1.0722324,none
0.4,0.09143868,none
0.4,0.32426775,none
0.0,0.09810024,none
0.4,0.17225829,none
0.0,0.23768474,none
0.0,0.29471585,none
0.0,0.28140143,none
0.0,1.0528255,none
0.4,1.3238645,none
0.0,0.11532422,none
0.0,0.11543136,none
0.4,0.9222894,none
0.0,0.16110788,none
0.0,0.08464629,none
0.4,0.34205598,none
0.0,1.3238645,none
0.0,0.16216733,none
0.4,0.27397722,none
0.4,0.20036717,none
0.0,0.047911238,none
0.0,0.3216308,none
0.4,0.19620045,none
0.4,0.12427389,none
0.4,0.23295255,none
0.0,0.45943642,none
0.4,0.10734238,none
0.4,0.12109314,none
0.4,0.51220804,none
0.4,0.28822023,none
0.4,0.5107198,none
0.4,0.17564408,none
0.0,0.9502628,middle right
0.0,0.15526402,middle right
0.4,0.22805028,middle right
-0.4,0.27779457,middle right
0.4,0.09077031,middle right
0.0,0.16216733,middle right
0.4,0.89289725,middle right
0.0,0.27555737,middle right
0.4,0.07739921,middle right
0.4,0.22856614,middle right
0.4,0.19709627,middle right
0.0,0.10664708,middle right
0.0,0.29267672,middle right
0.0,0.08117678,middle right
0.4,0.35286197,middle right
-0.4,0.37834403,middle right
0.4,0.22760281,middle right
0.4,0.115267664,right
-0.8,0.47409463,right
0.0,0.043200288,right
0.8,0.20094818,right
0.4,0.2525667,right
0.0,0.20824687,right
0.4,0.05414158,right
0.4,0.13114928,right
-0.4,0.054761812,right
0.0,1.3165886,right
0.0,0.27723357,right
0.0,0.17940208,right
0.0,0.08149638,right
0.0,0.07447368,right
-0.4,0.5897954,right
