wrclmch,prtcleat,anweight,party_feel_closest
0.0,2.0,0.43998653,middle right
-0.5,66.0,0.30974963,none
-0.5,66.0,0.34448105,none
1.0,1.0,0.13861534,middle left
-0.5,3.0,0.26190716,right
0.0,66.0,0.04647404,none
0.5,66.0,0.14867559,none
-0.5,66.0,0.16153651,none
1.0,66.0,0.29471585,none
0.5,66.0,0.09203565,none
0.0,66.0,0.21798408,none
0.0,66.0,0.16540444,none
0.5,66.0,0.04768604,none
0.0,66.0,0.12720636,none
0.0,1.0,0.10376495,middle left
0.5,1.0,1.3238645,middle left
-0.5,3.0,0.6432616,right
0.5,66.0,0.85056734,none
1.0,6.0,0.08232505,left
-0.5,66.0,0.08421112,none
-0.5,66.0,0.076148786,none
0.0,66.0,0.16794184,none
0.0,1.0,0.31109202,middle left
0.5,7.0,1.1030813,middle right
-0.5,5.0,0.23012803,left
0.0,66.0,0.17589729,none
1.0,1.0,0.14391424,middle left
0.5,66.0,0.24320082,none
0.0,66.0,0.20456384,none
1.0,66.0,0.12498706,none
0.0,7.0,0.52073646,middle right
1.0,66.0,1.3238643,none
0.5,5.0,0.5339524,left
0.5,66.0,0.13251084,none
0.5,66.0,0.1290659,none
-0.5,3.0,0.2026279,right
-1.0,1.0,0.6795601,middle left
0.5,66.0,0.29735118,none
0.0,1.0,0.18976213,middle left
0.5,2.0,0.9169618,middle right
0.5,66.0,0.2624325,none
0.0,1.0,0.106591724,middle left
-0.5,3.0,0.12779364,right
0.0,66.0,0.24062319,none
0.0,66.0,0.09945239,none
0.0,66.0,0.23615955,none
0.0,2.0,0.27258295,middle right
0.0,66.0,0.11663257,none
0.0,3.0,0.13009207,right
0.0,66.0,0.45184156,none
0.5,66.0,0.093318276,none
0.5,66.0,0.18621555,none
0.0,66.0,0.26208702,none
0.5,66.0,0.10090476,none
-0.5,66.0,0.16598767,none
0.0,66.0,0.34713432,none
0.0,66.0,0.23861705,none
0.0,66.0,0.78288823,none
0.5,66.0,0.11959475,none
0.0,66.0,0.19857514,none
-0.5,2.0,0.4821347,middle right
0.5,5.0,0.21022843,left
-0.5,3.0,0.473632,right
0.0,2.0,0.57643825,middle right
0.0,66.0,0.11458715,none
1.0,66.0,0.20841457,none
0.0,1.0,0.12160441,middle left
0.5,66.0,0.0916025,none
0.0,7.0,0.77732116,middle right
0.0,1.0,0.13879953,middle left
0.5,1.0,0.12976523,middle left
0.0,66.0,0.40431282,none
0.5,66.0,0.20036717,none
0.5,2.0,0.6665579,middle right
0.5,1.0,0.30155244,middle left
0.0,66.0,0.69855785,none
-1.0,2.0,0.049726196,middle right
0.0,2.0,0.08117678,middle right
0.0,2.0,0.09915493,middle right
0.5,66.0,0.24631874,none
0.5,5.0,0.38197234,left
0.0,1.0,0.06690894,middle left
0.0,5.0,0.040366948,left
0.0,66.0,0.5296074,none
0.5,66.0,0.24606065,none
0.0,3.0,1.3238645,right
0.0,2.0,0.09881045,middle right
1.0,5.0,0.048057828,left
0.0,1.0,0.27543792,middle left
0.5,1.0,0.33357963,middle left
0.0,66.0,0.102386475,none
0.0,66.0,0.55597204,none
1.0,1.0,0.19209859,middle left
0.0,1.0,0.07182691,middle left
0.0,3.0,0.49506894,right
-0.5,66.0,0.09420827,none
0.0,66.0,0.0718269,none
1.0,66.0,0.78191614,none
0.5,5.0,0.3127494,left
1.0,5.0,0.114422105,left
0.5,5.0,0.55087584,left
1.0,5.0,0.05158767,left
0.5,66.0,0.09080105,none
0.5,66.0,0.32520747,none
1.0,66.0,0.1441259,none
0.0,66.0,0.17998353,none
1.0,66.0,0.15993166,none
0.0,66.0,0.18747275,none
-0.5,66.0,0.31544432,none
0.0,1.0,0.24617158,middle left
0.5,2.0,0.074473664,middle right
-0.5,66.0,0.23177232,none
0.5,66.0,0.2314321,none
-0.5,1.0,0.55658126,middle left
0.0,66.0,0.1868448,none
-1.0,66.0,0.076909386,none
0.5,1.0,0.11663257,middle left
0.0,66.0,0.27866265,none
-0.5,2.0,0.23237638,middle right
0.0,2.0,0.13009207,middle right
-0.5,2.0,0.09915493,middle right
0.0,66.0,0.07654385,none
-0.5,66.0,0.15922777,none
0.5,66.0,0.16586807,none
0.0,66.0,1.2882074,none
0.5,66.0,0.080918506,none
0.0,66.0,0.69961554,none
0.5,66.0,0.24390557,none
0.5,66.0,0.15922777,none
0.0,1.0,0.24399124,middle left
0.0,1.0,0.48105443,middle left
0.0,66.0,0.08207147,none
0.0,3.0,0.57262444,right
0.5,66.0,0.13251084,none
-0.5,3.0,0.27723357,right
0.0,2.0,0.22515954,middle right
-0.5,3.0,0.045639355,right
0.5,3.0,0.79804116,right
0.5,66.0,0.31276816,none
0.0,3.0,0.46025607,right
0.5,66.0,0.89700294,none
0.5,66.0,0.16929258,none
0.0,1.0,0.38199866,middle left
1.0,66.0,0.122475594,none
0.0,1.0,0.04129785,middle left
0.0,66.0,0.049507264,none
0.5,5.0,0.10828316,left
0.0,66.0,0.23791668,none
1.0,66.0,0.9193418,none
0.0,66.0,0.30936122,none
