imueclt,anweight,party_feel_closest
0.0,1.0668666,left
0.36363636363636365,0.16519614,left
0.0,0.5339524,left
-0.5454545454545455,0.11028964,left
0.0,0.09199608,left
0.36363636363636365,0.514238,left
-0.36363636363636365,0.23012803,left
-0.7272727272727274,0.30410862,left
-0.5454545454545455,1.3238643,left
-0.7272727272727274,0.106591724,left
0.0,0.19625835,left
0.0,0.55658126,left
-0.9090909090909092,0.38217774,left
-0.36363636363636365,0.3004357,left
-0.18181818181818177,0.38197234,left
0.0,0.46656498,left
0.18181818181818177,0.05158767,left
-0.5454545454545455,0.70143235,left
-0.5454545454545455,0.076148786,left
-0.7272727272727274,0.09286898,left
-0.5454545454545455,1.3238645,left
0.9090909090909091,0.40063697,left
-0.36363636363636365,0.31014088,left
0.0,0.91679144,left
-0.36363636363636365,0.16093153,left
-0.5454545454545455,0.3338157,left
-0.9090909090909092,0.22220494,left
-0.36363636363636365,0.20314468,left
-0.9090909090909092,0.35108042,left
-0.18181818181818177,0.12160441,left
-0.5454545454545455,0.29190952,left
-0.5454545454545455,0.07236499,left
0.5454545454545454,0.50128865,left
-0.18181818181818177,0.13381788,left
-0.5454545454545455,0.3357224,left
-0.18181818181818177,0.10828316,left
-0.7272727272727274,0.23045094,left
-0.18181818181818177,0.9490955,left
-0.9090909090909092,0.28631225,left
0.0,0.23023538,left
-0.5454545454545455,0.27515286,left
-0.36363636363636365,0.7639447,middle left
0.0,0.2826049,middle left
0.18181818181818177,0.28369537,middle left
0.18181818181818177,0.10372264,middle left
0.7272727272727273,0.10895584,middle left
-0.5454545454545455,0.6616821,middle left
0.0,1.3238643,middle left
0.0,0.38199866,middle left
0.18181818181818177,0.09544661,middle left
-0.18181818181818177,0.3611438,middle left
0.0,0.28369537,middle left
0.18181818181818177,0.4637355,middle left
-0.18181818181818177,0.36943728,middle left
-0.5454545454545455,0.47000894,middle left
-0.9090909090909092,0.10090476,middle left
-0.7272727272727274,0.17956828,middle left
-0.5454545454545455,0.69691986,middle left
0.0,0.09577179,middle left
-0.18181818181818177,0.15414636,middle left
0.0,0.06214383,middle left
0.0,0.38199866,middle left
0.7272727272727273,0.25610402,middle left
0.0,0.16370428,middle left
0.36363636363636365,0.16153651,middle left
0.5454545454545454,1.3238645,middle left
-0.5454545454545455,0.13608515,middle left
0.5454545454545454,0.106591724,middle left
0.5454545454545454,0.21999323,middle left
0.18181818181818177,0.045639355,middle left
0.36363636363636365,0.2643093,middle left
0.5454545454545454,0.37241134,middle left
-0.5454545454545455,0.64409244,middle left
-0.36363636363636365,0.23237638,middle left
