imueclt,anweight,party_feel_closest
-0.36363636363636365,0.11585063,left
0.0,0.5003457,left
-0.36363636363636365,0.1818512,left
-0.9090909090909092,1.2048144,left
-0.7272727272727274,0.55087584,left
-0.7272727272727274,1.3238643,left
-0.5454545454545455,0.10828316,left
0.0,0.4460089,left
0.0,0.14184768,left
-0.5454545454545455,0.162076,left
-0.5454545454545455,0.27515286,left
-0.18181818181818177,0.043200288,left
-0.7272727272727274,1.3236659,left
-0.36363636363636365,0.34386593,left
0.0,0.08073391,left
-0.36363636363636365,0.42283946,left
-0.7272727272727274,0.114422105,left
-0.5454545454545455,0.20499675,left
-0.5454545454545455,0.03693064,left
0.0,0.46656498,left
-0.7272727272727274,0.23045094,left
-0.7272727272727274,0.38864112,left
-0.5454545454545455,1.184588,left
-0.9090909090909092,0.76235414,left
-0.9090909090909092,1.0893724,left
-0.5454545454545455,0.076148786,left
-0.36363636363636365,0.1676253,left
-0.36363636363636365,0.16093153,left
0.36363636363636365,0.12976523,middle left
0.0,0.4625385,middle left
-0.18181818181818177,0.2719377,middle left
0.0,0.45479086,middle left
-0.18181818181818177,1.3238645,middle left
-0.36363636363636365,0.43174264,middle left
0.7272727272727273,0.10321815,middle left
0.0,0.46649256,middle left
0.7272727272727273,0.20752993,middle left
-0.18181818181818177,0.0718269,middle left
0.0,0.10047409,middle left
-0.36363636363636365,0.11381127,middle left
0.0,0.26572496,middle left
-0.36363636363636365,0.14472999,middle left
0.18181818181818177,0.103764966,middle left
-0.5454545454545455,0.09193349,middle left
0.18181818181818177,0.102491125,middle left
-0.18181818181818177,0.31544432,middle left
0.18181818181818177,0.21999323,middle left
-0.36363636363636365,0.5365671,middle left
-0.5454545454545455,0.29545,middle left
0.0,0.34867233,middle left
0.0,0.31303567,middle left
0.0,0.13517718,middle left
0.18181818181818177,0.33525828,middle left
-0.18181818181818177,0.19209859,middle left
-0.18181818181818177,0.22924386,middle left
-0.9090909090909092,0.063752726,middle left
0.0,0.049507264,middle left
