wrclmch,anweight,party_feel_closest
0.4,0.37748352,left
0.8,0.6761484,left
0.0,0.12160441,left
0.0,0.043200288,left
0.8,0.280044,left
0.4,0.117543094,middle left
0.0,0.19830987,middle left
0.0,1.3238643,middle left
0.0,0.13517718,middle left
0.0,0.055122692,middle left
0.4,0.17084609,middle left
0.0,0.39144412,middle left
0.0,0.13009207,middle left
0.8,0.10090476,middle left
0.0,0.103764966,middle left
0.8,0.0489387,middle left
0.0,0.588903,middle left
0.4,0.10293316,middle left
0.0,0.60310495,middle left
0.4,0.04403058,middle left
0.4,0.30155247,middle left
0.4,0.20624104,middle left
0.4,0.162076,middle left
0.4,0.043629494,none
-0.4,1.3238643,none
0.4,0.09577179,none
0.4,0.10828316,none
0.4,0.16213389,none
0.0,0.40063685,none
0.8,0.33039227,none
0.4,1.1459173,none
0.0,0.10895584,none
0.0,0.096233934,none
0.0,0.23328903,none
0.0,0.29859263,none
0.0,0.39240095,none
0.4,0.6975137,none
0.0,0.31544432,none
0.4,0.17225829,none
0.4,0.15400556,none
0.8,0.43039182,none
0.4,0.16330086,none
0.0,0.13886423,none
0.4,0.14894733,none
0.0,0.14184768,none
0.4,0.20036712,none
0.0,0.07257932,none
0.4,0.27397722,none
-0.4,0.092262685,none
0.0,0.7485567,none
0.4,0.17250448,none
0.4,0.5062849,none
0.4,0.22248554,none
0.4,0.21329416,none
0.0,0.09078405,none
-0.4,0.30974963,none
0.4,1.1630007,none
-0.8,0.086290635,none
0.4,0.24262287,none
0.0,0.22536455,none
0.0,0.79804116,none
0.0,0.24340113,none
0.4,1.3238643,none
-0.4,0.15271756,none
0.0,0.1934981,none
0.4,0.19636859,none
-0.4,0.26190716,none
0.0,0.39956382,none
0.8,0.25131685,none
0.4,0.2290761,none
0.8,0.1893132,none
0.8,0.15945986,none
0.4,1.0996906,none
0.4,0.24358791,none
0.0,0.28686476,none
0.8,0.15993166,none
0.0,0.9322998,none
0.0,0.17940208,none
0.4,1.3238645,none
0.0,0.34245372,none
0.4,0.46657804,none
0.0,0.16929258,none
0.0,0.31998032,none
0.8,0.6152736,none
0.4,0.25875628,middle right
-0.4,0.39144412,middle right
0.0,0.14908034,middle right
0.0,0.09077031,middle right
0.4,0.2811936,middle right
0.0,0.39902058,middle right
-0.4,0.14777084,middle right
0.4,0.473632,middle right
0.4,0.074473664,middle right
-0.4,0.35179457,middle right
0.0,0.103764966,right
0.4,0.11663257,right
0.0,0.060802206,right
-0.4,0.473632,right
0.0,0.1676253,right
0.4,0.13885415,right
