ccnthum,anweight,party_feel_closest
0.0,0.040366948,left
0.4,1.0893724,left
0.8,1.2048144,left
0.4,0.27515286,left
0.8,0.55658126,left
0.8,0.55087584,left
0.0,0.28449947,left
0.4,0.10828316,left
0.0,0.23012803,left
0.4,0.46656498,left
0.4,1.184588,left
0.0,0.14365382,middle left
0.0,0.2374691,middle left
0.4,0.22805028,middle left
0.4,0.15479836,middle left
0.4,0.103764966,middle left
0.4,0.08076826,middle left
0.4,0.9400179,middle left
0.4,0.37241134,middle left
0.0,0.10376495,middle left
0.4,0.22311966,middle left
0.4,0.106591724,middle left
0.0,0.9663104,middle left
-0.4,0.2180197,middle left
0.4,0.18131083,middle left
0.4,1.3238645,middle left
0.0,0.35108042,middle left
0.0,0.85076094,middle left
0.0,0.09577179,middle left
0.4,0.060802206,middle left
0.4,0.69691986,middle left
0.4,0.08130015,middle left
0.8,0.64409244,middle left
0.4,0.10899844,middle left
-0.8,0.3454216,middle left
0.4,0.4637355,middle left
0.4,0.36943728,middle left
0.4,0.16183698,none
0.0,0.23923036,none
0.4,0.2882518,none
0.0,0.629542,none
-0.8,0.30677795,none
0.4,0.11959475,none
0.0,0.60310495,none
0.4,0.45607427,none
0.0,0.48149785,none
0.4,0.16538699,none
0.4,0.09143868,none
0.0,0.47431388,none
0.4,0.66719633,none
-0.4,0.051213868,none
0.0,0.33983588,none
0.8,0.2618619,none
0.8,0.28565127,none
0.4,0.2882518,none
0.4,0.24320082,none
0.4,0.09577179,none
0.8,0.28686476,none
0.0,0.15847784,none
0.0,0.28160122,none
0.4,0.24109301,none
0.0,0.087982416,none
0.4,0.7895195,none
0.8,0.3325147,none
0.0,0.22762254,none
0.0,1.2225335,none
0.8,0.16212454,none
0.4,0.43623018,none
0.4,0.18747275,none
0.4,0.045392025,none
0.0,0.12189031,none
0.4,0.0489387,none
0.0,0.24013658,none
0.4,0.10414677,none
0.4,0.22242649,none
0.4,0.356025,none
0.4,0.17208794,none
0.4,0.1678612,none
0.4,0.25131685,none
0.4,0.25690973,none
-0.4,0.08833465,none
0.0,0.38523594,none
0.4,0.5062849,none
0.0,0.14912452,none
0.4,0.32520747,none
0.4,0.23973201,none
0.0,0.27297837,none
0.0,0.09199608,none
0.4,0.33769277,none
0.0,0.40088582,none
0.4,0.12427389,none
-0.4,0.33039227,none
0.0,0.6339114,none
0.4,0.115610704,none
0.4,1.3236659,none
0.0,0.06579065,none
0.0,0.045621652,none
0.0,0.29357517,none
0.0,0.11526765,none
0.4,0.62026787,none
0.0,0.07344984,none
0.4,0.10734238,none
0.4,0.06455941,none
0.0,1.1618241,none
0.4,0.60291135,none
0.0,0.08207147,none
0.4,0.23973201,none
0.4,0.51911527,none
0.0,0.40937296,none
0.4,0.16598554,none
0.4,0.12428766,none
0.4,0.7869277,none
0.4,0.09537208,none
0.4,0.095822476,none
0.4,0.08231106,none
-0.4,0.18621555,none
0.0,0.21616118,none
0.8,0.16370428,none
0.0,0.09231338,none
0.4,0.14867559,none
0.0,0.11801526,none
0.4,0.49641523,none
0.4,0.27116925,none
0.0,0.79958344,none
-0.8,0.19255431,none
0.0,0.36262164,none
0.4,0.21814755,none
0.4,0.52528965,none
0.0,0.16216733,none
0.8,0.07719966,none
0.4,0.13114928,none
0.0,0.21157856,none
0.0,0.5992638,none
-0.4,0.045639355,none
-0.4,0.13799413,none
0.0,0.22200777,none
0.0,0.23658256,none
0.0,0.20828111,none
-0.4,0.7269684,none
0.4,0.961415,none
0.4,0.043677915,none
0.0,0.21799691,none
0.0,0.21798408,none
0.4,0.09211799,none
0.0,0.26190716,none
0.4,1.207883,none
0.0,0.038699605,none
0.4,0.20036717,none
0.4,0.16887283,none
0.4,0.28822023,none
0.4,0.16330086,none
0.0,0.057419594,none
0.4,0.31736785,none
0.0,0.12473268,none
0.4,0.6084558,none
0.4,0.2624325,none
0.0,0.16183701,none
0.0,0.24013658,none
0.4,0.040825214,none
0.4,0.3679312,none
0.4,1.1630007,none
0.0,0.10129489,none
0.0,0.119552895,none
0.0,1.3238645,middle right
0.0,0.23237638,middle right
0.0,0.30829272,middle right
0.4,1.3238643,middle right
0.0,0.055122692,middle right
0.0,0.6773098,middle right
-0.4,1.1030813,middle right
0.0,0.08214058,middle right
0.0,0.16183701,middle right
0.4,0.18593362,middle right
0.0,0.119560294,middle right
0.0,0.30974963,middle right
0.4,0.1676253,middle right
0.4,0.27798086,middle right
0.0,0.4544635,middle right
0.4,0.22425073,middle right
0.0,0.1729862,middle right
0.4,0.22805028,middle right
0.4,0.11618819,middle right
0.4,0.0912433,middle right
0.4,0.1319739,middle right
0.0,0.22803932,middle right
-0.4,0.045639355,right
0.8,0.46916294,right
0.0,0.6152736,right
-0.4,0.57262444,right
0.4,0.65230185,right
-0.4,0.100183584,right
0.4,0.06991398,right
-0.4,0.6432616,right
0.0,0.05771568,right
0.8,0.33062372,right
0.4,0.115267664,right
-0.4,0.09936386,right
0.0,0.22869827,right
0.0,0.06579067,right
0.0,0.060802206,right
